run_name,run_id,model_name,C,kernel,gamma,penalty,solver,n_estimators,learning_rate,max_depth,cv_mean_accuracy,cv_std_accuracy,test_accuracy,test_precision,test_recall,test_f1,train_accuracy,train_f1
logreg_l2_C01,6715988d361e4a639b5dbacdc3247262,logreg,0.1,,,l2,lbfgs,,,,0.993103448275862,0.013793103448275846,1.0,1.0,1.0,1.0,0.9929577464788732,0.9929723149840314
svc_rbf_C1,f26d492cf4314db29f3ee3e818ab7c1f,svc,1.0,rbf,scale,,,,,,0.9862068965517242,0.027586206896551738,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407,0.9929577464788732,0.9929723149840314
logreg_l2_C1,e3b26049d3a6401a9cdd103148576fb7,logreg,1.0,,,l2,lbfgs,,,,0.993103448275862,0.013793103448275846,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407,1.0,1.0
svc_rbf_C10,a1567f0e61344926ad64b84caa985054,svc,10.0,rbf,scale,,,,,,0.9862068965517242,0.027586206896551738,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9432098765432099,1.0,1.0
svc_linear_C1,f5d821d7dd0c4400bf642dcc1a065aa7,svc,1.0,linear,,,,,,,0.9862068965517242,0.027586206896551738,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953,1.0,1.0
gb_n100_lr01,a4cc011418284d039b6a7f770e1c1012,gradient_boosting,,,,,,100,0.1,3,0.9583743842364532,0.04017421838148233,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953,1.0,1.0
gb_n200_lr005,16c602b7f38c4985af85fc99405a339e,gradient_boosting,,,,,,200,0.05,3,0.9583743842364532,0.04017421838148233,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953,1.0,1.0
